Name,Price,Rating,Number of Reviews,Product Link
"Apple MacBook Air 15"" w/ Touch ID (2024) - Starlight (Apple M3 Chip / 256GB SSD / 8GB RAM) English - Open Box","$1,249.99",5.0,1,https://www.bestbuy.ca/en-ca/product/apple-macbook-air-15-w-touch-id-2024-starlight-apple-m3-chip-256gb-ssd-8gb-ram-english-open-box/17935590
"ASUS TUF Gaming F17 17.3"" Gaming Laptop - Mecha Grey (Intel Core i5-12500H/1TB SSD/16GB RAM/GeForce RTX 3050)",$999.99,4.5,4,https://www.bestbuy.ca/en-ca/product/asus-tuf-gaming-f17-17-3-gaming-laptop-mecha-grey-intel-core-i5-12500h-1tb-ssd-16gb-ram-geforce-rtx-3050/17687650
"ASUS Vivobook 16 16"" Laptop - Indie Black (Intel Core i5-1335U/8GB RAM/512GB SSD/Windows 11) - English",$549.99,4.0,1,https://www.bestbuy.ca/en-ca/product/asus-vivobook-16-16-laptop-indie-black-intel-core-i5-1335u-8gb-ram-512gb-ssd-windows-11-english/17937122
"Lenovo IdeaPad Slim 3 14"" Touchscreen Chromebook - Cloud Grey (MediaTek Kompanio 520/128GB eMMC/8GB RAM)",$449.99,4.59,27,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-slim-3-14-touchscreen-chromebook-cloud-grey-mediatek-kompanio-520-128gb-emmc-8gb-ram/17732142
"Lenovo LOQ 15IAX9I 15.6"" Gaming Laptop - Luna Grey (Intel Core i5-12450HX/512GB SSD/16GB RAM/Arc A530M)",$749.99,5.0,1,https://www.bestbuy.ca/en-ca/product/lenovo-loq-15iax9i-15-6-gaming-laptop-luna-grey-intel-core-i5-12450hx-512gb-ssd-16gb-ram-arc-a530m/17732155
"ASUS CM30 Detachable 10.5"" 2-in-1 Chromebook with Stylus - Fog Silver (MediaTek K 520/4GB RAM/128GB eMMC)",$249.99,4.4,10,https://www.bestbuy.ca/en-ca/product/asus-cm30-detachable-10-5-2-in-1-chromebook-with-stylus-fog-silver-mediatek-k-520-4gb-ram-128gb-emmc/17929909
"ASUS TUF A15 15.6"" Gaming Laptop - Mecha Grey (AMD Ryzen 7 6800HS/512GB SSD/8GB RAM/GeForce RTX 2050)- En",$799.95,3.75,8,https://www.bestbuy.ca/en-ca/product/asus-tuf-a15-15-6-gaming-laptop-mecha-grey-amd-ryzen-7-6800hs-512gb-ssd-8gb-ram-geforce-rtx-2050-en/17698148
"Microsoft Surface Laptop Go 3 12.45"" Touchscreen Laptop - Sandstone (Intel i5-1235U/256GB SSD/8GB RAM) - Exclusive Retail Partner",$899.99,5.0,2,https://www.bestbuy.ca/en-ca/product/microsoft-surface-laptop-go-3-12-45-touchscreen-laptop-sandstone-intel-i5-1235u-256gb-ssd-8gb-ram-exclusive-retail-partner/17212075
"Apple MacBook Air 13.6"" w/ Touch ID (2022) - Midnight (Apple M2 Chip / 256GB SSD / 8GB RAM) - English","$1,299.99",4.89,6468,https://www.bestbuy.ca/en-ca/product/apple-macbook-air-13-6-w-touch-id-2022-midnight-apple-m2-chip-256gb-ssd-8gb-ram-english/16282196
"ASUS TUF Gaming A15 (2024) 15.6"" 144Hz Gaming Laptop (AMD Ryzen 5 7535HS/512GB SSD/16GB RAM/RTX 4050)",$999.95,4.67,6,https://www.bestbuy.ca/en-ca/product/asus-tuf-gaming-a15-2024-15-6-144hz-gaming-laptop-amd-ryzen-5-7535hs-512gb-ssd-16gb-ram-rtx-4050/17698113
